smiles,S0_G4,Cv_G4,S0_Exp,Cv_Exp
CC\C(C)=C/C,375.417,122.8163,379.0,121.2
CC\C(C)=C\C,375.417,122.8163,382.0,118.3
CC\C=C/C,338.1133,99.4403,,94.1
CC\C=C/Cl,337.3265,90.2397,,87.686
CC\C=C\C,338.1133,99.4403,343.0,102.0
CCl,234.359,32.3465,234.0,32.6
CF,222.4886,28.7315,223.0,29.1
CN,240.3321,39.7145,243.0,42.5
CN(C)C,288.9735,78.9269,288.0,83.5
CN(C)C(C)=O,363.5466,110.5906,351.0,101.9
CN(C)C=O,326.4999,86.1477,326.0,86.4
CN(C)CCO,367.1426,116.6284,384.0,117.5
CN=C=O,293.4319,55.6545,,46.686
CNC,271.8045,58.0739,272.0,62.3
CNC(=O)NC,374.4148,110.6076,345.0,
CNC(C)=O,346.4288,90.5158,320.0,67.7
CNC(N)=O,327.7925,87.6874,306.0,75.6
CNC=O,284.2738,65.939,281.0,55.2
CO,237.9456,36.5974,240.0,35.8
COC,264.3771,54.0614,,57.0
COC(=O)C(C)=C,384.606,120.6367,401.0,107.7
COC(=O)C(C)C,400.9219,129.3059,,118.686
COC(=O)C(C)O,393.9062,124.0927,,116.686
COC(=O)C=C,352.9749,97.1854,366.0,91.0
COC(=O)CCl,374.076,97.085,373.0,90.5
COC(=O)OC,355.0464,97.4908,322.0,91.5
COC(C)(C)C,368.1521,126.6697,357.8,125.2
COC(C)=O,335.9311,84.3821,,77.3
COC(C)C,341.6902,101.457,342.0,104.4
COC(C)OC,373.4758,116.2644,373.0,
COC(Cl)=O,323.8406,74.7798,,73.686
COC(F)(F)C(F)(F)F,407.3138,129.4398,,
COC=C,294.9054,68.8678,308.0,68.8
COC=O,299.6418,60.8848,291.0,57.4
COCC(C)C,378.8141,122.9504,,122.686
COCC(C)O,371.2462,116.3313,,113.686
COCCO,343.6571,92.516,359.0,91.5
COCOC,339.9292,91.6291,336.0,83.2
CON=O,290.227,58.8974,285.0,54.9
COO,269.559,53.1818,279.0,54.686
COOC,289.37,65.4119,,72.686
CS,253.7964,42.6935,255.0,42.0
CSC,284.5779,63.8812,286.0,65.8
CSC#N,298.1431,64.6334,,64.4
CSC(C)C,358.8354,110.3563,361.0,110.1
CSSC,338.2959,88.6247,336.0,85.9
C[C@@H](O)CCO,364.7949,116.62,375.0,114.6
C[C@@H](O)CN,334.3824,100.411,363.0,97.7
C[C@@H](O)CO,328.3813,95.2981,,91.4
C[C@@H](O)[C@@H](C)O,355.7357,118.6323,,114.6
C[C@@H](O)[C@H](C)O,355.7357,118.6323,,114.6
C[C@H](O)CCO,364.7949,116.62,375.0,114.6
C[C@H](O)CO,328.3813,95.2981,308.0,91.4
C[C@H](O)[C@H](C)O,355.7357,118.6323,375.0,114.6
C[CH]=[C]=[CH2],289.9977,70.6709,293.0,71.3
C[CH]=[C]=[CH]C,319.9515,92.2812,329.0,94.2
C[CH]=[C]=[C](C)C,357.5305,115.9668,364.0,122.1
C[C](C)=[C]=[CH2],316.2353,93.8,322.0,94.7
C[S](C)(=O)=O,317.3713,90.776,311.0,
C[S](C)=O,308.7631,79.9687,306.0,81.7
C[S](Cl)(=O)=O,321.8664,80.3955,313.0,75.7
C[S](O)(=O)=O,316.1865,84.2982,,66.1
C\1C\C=C/CC\C=C1,346.9153,124.4645,351.0,130.6
C\C(Cl)=C/CCl,370.4945,103.9548,353.0,105.3
C\C(Cl)=C\CCl,370.4945,103.9548,,104.686
C\C=C(/C)C(C)C,410.905,146.1839,,146.9
C\C=C(/C)C=C,355.9583,114.0843,374.0,114.9
C\C=C/Br,309.406,69.9512,,59.686
C\C=C/C,292.6353,77.4239,301.0,71.9
C\C=C/C#C,311.8364,86.704,300.0,88.8
C\C=C/C#N,306.6233,77.4657,,75.686
C\C=C/C(C)(C)C,389.4713,146.824,,142.686
C\C=C/C(C)=C,353.2409,113.5069,374.0,114.9
C\C=C/C(C)C,367.541,122.7451,373.0,127.9
C\C=C/C(O)=O,341.3923,95.9718,359.0,100.2
C\C=C/C=C,324.868,91.0346,323.0,88.8
C\C=C/CO,335.5901,94.2731,,93.0
C\C=C/Cl,297.5972,68.1814,300.0,59.4
C\C=C/F,285.8148,64.3196,298.0,60.1
C\C=C\Br,309.406,69.9512,,66.686
C\C=C\C,292.6353,77.4239,296.0,79.4
Cl,186.5893,20.7861,186.901,
ClBr,239.9622,26.6269,239.99,
ClC#C,241.5385,45.7353,242.0,
ClC#CCl,239.7204,53.7717,272.03,
ClC#N,226.4891,34.0619,236.0,36.7
ClC(=O)C(Cl)(Cl)Cl,386.1955,105.5698,365.0,101.9
ClC(Cl)(Cl)Br,334.8261,77.7135,,76.686
ClC(Cl)(Cl)C#N,333.8751,86.2479,337.0,
ClC(Cl)(Cl)C(Cl)(Cl)Cl,400.5866,131.2596,398.0,129.4
ClC(Cl)(Cl)C=O,358.3951,91.5367,349.0,88.8
ClC(Cl)(Cl)Cl,311.1917,75.7219,310.0,75.0
ClC(Cl)=C,288.25,58.3918,289.0,58.1
ClC(Cl)=C(Cl)Cl,341.9975,87.3274,341.0,87.0
ClC(Cl)=O,283.9263,49.5552,284.0,49.4
ClC(Cl)C(Cl)(Cl)Cl,393.39,113.0676,382.0,109.7
ClC(Cl)C(Cl)Cl,365.6912,95.6998,360.0,91.2
ClC(Cl)Cl,296.5643,57.6889,296.0,57.3
ClC/C=C/Cl,338.4228,80.7295,338.0,80.8
ClC=C,263.8704,44.7771,271.0,45.4
ClC=C(Cl)Cl,325.3535,72.3152,325.0,71.9
ClCBr,288.1308,44.6349,287.0,45.1
ClCC#C,291.3714,62.964,288.0,62.4
ClCC(Cl)(Cl)Cl,367.6502,97.9926,356.0,94.5
ClCC(Cl)=O,332.7424,74.0225,,70.686
ClCC(Cl)C=C,374.6029,104.7626,371.0,105.7
ClCC(Cl)CCl,380.5599,102.2689,383.0,105.1
ClCC(Cl)Cl,343.6048,80.7127,,77.8
ClCC=C,305.6955,67.7047,307.0,66.8
ClCC=O,305.8601,60.3367,304.0,57.7
ClCCCCl,347.9434,87.83,368.0,92.5
ClCCCl,310.3101,66.37,308.0,69.5
ClCCl,270.6205,42.8483,270.0,42.8
ClC\C=C/Cl,338.4228,80.7295,,79.7
ClCl,217.1772,25.5642,223.0805,
ClOCl,268.1372,39.6141,267.89,
ClSCl,282.4205,42.9111,281.6,41.686
ClSSCl,325.0605,67.4076,327.19,
Cl[S](Cl)(=O)=O,314.5446,70.0694,,68.7
Cl[S](Cl)=O,309.7054,58.5341,,57.686
Cl\C=C/Cl,290.8301,58.7507,290.0,56.7
Cl\C=C\Cl,290.8301,58.7507,290.0,58.3
F,173.5213,20.7861,173.77949999999998,
F/N=N/F,269.627,44.9017,262.63,
F/N=N\F,269.627,44.9017,259.8,
FBr,228.6906,24.4011,228.93,
FC#C,209.6873,41.8525,232.0,
FC#CF,250.8511,50.1735,244.06,
FC#N,223.09,32.0536,225.0,33.6
FC(C(F)(F)F)C(F)(F)F,415.4945,131.8707,394.0,128.2
FC(Cl)(Cl)C(Cl)(Cl)Cl,406.185,125.9292,392.0,121.9
FC(Cl)(Cl)C(F)(Cl)Cl,391.792,120.8707,386.0,115.6
FC(Cl)(Cl)Cl,311.0589,70.3497,310.0,69.8
FC(Cl)Br,305.9804,54.9191,304.0,54.9
FC(Cl)C(F)(F)Cl,364.7706,98.273,358.0,95.0
FC(Cl)C(F)(F)F,353.772,92.6748,349.0,90.8
FC(Cl)Cl,293.8987,52.915,293.25,52.686
FC(F)(Cl)Br,320.2813,66.8017,318.0,66.3
FC(F)(Cl)C(Cl)(Cl)Cl,396.5425,120.377,,115.0
FC(F)(Cl)C(F)(Cl)Cl,387.7893,115.4817,387.0,115.4
FC(F)(Cl)C(F)(F)Cl,372.7448,110.2978,364.0,108.4
FC(F)(Cl)Cl,302.225,64.6385,301.0,64.1
FC(F)(F)Br,298.5016,60.9441,297.0,61.0
FC(F)(F)C#C,302.8606,78.0389,,77.7
FC(F)(F)C(=O)C(F)(F)F,411.246,129.7536,393.0,110.7
FC(F)(F)C(Cl)(Cl)Cl,377.6423,114.7161,370.0,111.7
FC(F)(F)C(Cl)Br,374.8006,98.683,366.0,
FC(F)(F)C(Cl)Cl,363.3881,96.863,353.0,94.2
FC(F)(F)C(F)(Cl)Cl,377.8211,109.9379,367.0,107.4
FC(F)(F)C(F)(F)C(F)(F)F,425.3443,144.5022,414.0,137.9
FC(F)(F)C(F)(F)Cl,368.1873,104.8418,358.0,101.4
FC(F)(F)C(F)(F)F,342.8635,99.5365,334.0,98.1
FC(F)(F)C=C,325.769,83.583,,83.2
FC(F)(F)CC(F)(F)F,390.3935,120.9212,381.0,116.3
FC(F)(F)CCl,336.0544,82.1186,327.0,80.9
FC(F)(F)Cl,286.2437,58.7517,285.35,58.686
FC(F)(F)F,261.9664,52.8857,262.0,52.8
FC(F)=C,270.6862,49.7435,266.0,51.0
FC(F)=C(Cl)Cl,326.7408,78.9217,,78.7
FC(F)=C(F)Br,334.2211,77.6163,335.0,76.9
FC(F)=C(F)C(F)(F)F,386.4773,114.4608,,122.7
FC(F)=C(F)Cl,322.3243,75.7293,322.0,75.6
FC(F)=C(F)F,300.1516,72.2775,300.0,72.2
FC(F)=CCl,303.0568,63.7296,303.0,63.8
FC(F)=O,258.8821,38.635,259.0,38.8
FC(F)Br,293.793,49.823,295.0,50.0
FC(F)C(F)(F)F,343.6716,88.0933,332.0,86.1
FC(F)C(F)C(F)(F)F,400.0197,121.1053,394.0,116.0
FC(F)C(F)F,323.4427,77.3906,320.0,82.0
FC(F)CC(F)(F)F,381.9527,110.1432,383.0,107.4
FC(F)Cl,281.6408,47.7896,281.0,48.2
FC(F)F,259.7202,42.3588,260.0,43.2
FC=C,252.3434,41.1245,,42.1
FC=C(F)F,292.613,60.8259,292.0,60.9
FC=O,246.505,31.585,247.0,
FCC(Cl)(Cl)Cl,357.8051,93.7375,350.0,92.6
FCC(F)(F)C(F)F,384.1199,112.0469,384.0,107.1
FCC(F)(F)F,325.9275,78.3446,,77.8
FCC(F)F,311.6583,67.6628,,68.6
FCC=C,293.5492,63.3157,300.0,62.0
FCCF,287.983,58.0606,289.0,59.4
FCCl,264.6541,38.6852,264.0,38.7
FCF,246.501,34.1163,247.0,34.6
FCl,217.736,23.5852,217.91,
FF,196.2366,22.0413,202.7955,
FN(F)F,260.68,44.4759,260.77,
FN(F)N(F)F,315.7967,77.3572,301.18,70.686
FNF,252.5019,34.451,,35.8
FOF,246.4746,33.7105,247.46,34.686
FOOF,279.9653,52.2323,,53.686
FS(F)=S,294.1981,55.0949,292.8,
FSF,258.345,36.7941,257.7,
FSSF,303.7766,60.6505,293.98,
F[S](F)(=O)=O,285.573,58.6512,,57.686
F[S](F)=O,280.3727,49.2289,,47.686
F\C=C\F,267.9258,51.5668,,49.686
N,192.3634,26.4261,192.77,26.686
N#CBr,247.2095,38.0493,248.35,
N#CC#N,236.8056,44.3577,241.57,
N#CC(F)(F)F,298.3255,70.3362,298.53,
N#CCC#N,289.3419,64.6878,288.0,63.3
N#N,185.7047,20.7945,197.65,
N=C=O,238.4916,37.4583,238.0,
N=C=S,250.2652,42.6841,248.0,38.5
N=O,220.6155,25.3508,220.72,
NC(=O)C=C,321.9825,83.2273,301.0,73.7
NC(N)=O,273.139,64.9178,267.0,63.9
NC(N)=S,287.2461,71.0684,303.0,65.9
NC=O,261.0788,46.3828,249.0,36.8
NCC(F)(F)F,331.6866,89.2397,298.0,69.0
NCC(O)=O,324.5058,80.8215,330.0,78.2
NCC=C,301.509,74.5037,,77.686
NCCCN,346.848,101.1602,367.0,106.4
NCCCO,333.9536,94.1729,367.0,98.7
NCCN,306.3297,79.2567,322.0,82.9
NCCO,304.7206,76.261,,77.2
NN,224.8607,38.1445,239.0,40.6
NO,234.9605,35.9395,236.0,38.4
O,188.6899,25.1123,188.8375,25.3
O=C(F)Cl,277.1321,44.1537,277.01,
O=C(O)C(=O)O,326.7114,80.0182,,76.686
O=C(O)CO,315.1107,76.3321,,76.686
O=C=C=C=O,244.3699,54.0353,276.07,
O=C=O,213.5491,28.4051,214.0,28.9
O=CC=O,279.8084,53.6046,272.0,52.2
O=CCC=O,336.2508,76.3784,,66.946
O=NBr,273.0638,36.8694,273.53,
O=NCl,261.1669,35.8317,261.68,
O=NF,247.1743,32.1205,248.08,
O=NO,247.9404,37.0901,249.41,
O=O,190.0636,20.9702,205.151,
O=S,212.8135,21.8028,221.94,
O=S(=O)(Cl)Cl,314.5446,70.0694,311.09,
O=S(=O)(F)Cl,305.7074,64.4628,302.84,
O=S(=O)(F)F,285.573,58.6512,283.61,
O=S(=O)(O)F,297.4034,67.4785,297.26,
O=S(=O)(O)O,316.6268,76.6665,298.78,
O=S(=O)=O,257.2416,42.6307,256.77,
O=S(F)F,280.3727,49.2289,279.13,
O=S=O,242.5823,31.4344,248.2165,
O=S=S,267.3135,35.7732,266.89,
O=[S](=O)=O,257.2416,42.6307,,41.686
OBr,247.597,29.79,,27.686
OC(=O)C(F)(F)F,347.5198,90.0179,333.0,85.7
OC(CCl)CCl,374.4393,105.3525,403.0,103.9
OC=O,248.9971,38.0525,249.0,37.4
OCC#C,287.1974,67.1605,293.0,64.5
OCC(CO)(CO)CO,471.4244,180.0206,,164.686
OCC(Cl)CCl,374.964,105.2145,396.0,102.9
OCC(O)CCl,368.9618,108.6035,408.0,105.7
OCC(O)CO,357.3624,108.6663,,106.6
OCC=O,304.265,65.1776,,
OCCC#N,322.0409,80.7127,331.0,76.3
OCCCCl,349.7275,91.9679,363.0,
OCCCO,333.5548,92.0851,358.0,91.8
OCCCl,307.8036,69.0896,321.0,67.6
OCCO,301.4549,72.3489,311.84,74.4
OCCS,314.8977,78.4743,326.0,77.3
OCl,236.4751,28.7775,236.5,28.9
OF,226.2337,26.9115,226.77,
ON=O,247.9404,37.0901,,37.5
OO,221.6682,34.8308,232.95,34.5
O[Cl](=O)(=O)=O,300.1069,66.6636,,64.9
O[S](O)(=O)=O,316.6268,76.6665,,76.0
S,205.6502,25.765,205.79000000000002,25.9
S=C=S,228.2374,34.8694,238.0,37.2
SCCS,338.4384,87.428,345.0,85.5
[CH2]=[C]=[CH2],242.4814,49.141,244.0,50.8
[nH]1cccc1,276.2867,62.8719,271.0,63.2
[nH]1cccn1,272.8877,56.3114,,69.9
c1ccccc1,268.9231,72.8884,269.0,74.2
c1ccncc1,281.9625,68.1563,283.0,69.6
c1ccnnc1,281.487,65.5915,,72.5
c1cnccn1,274.8169,64.2066,,78.9
c1cncnc1,280.8001,64.1773,282.0,57.2
o1cccc1,267.01,56.7298,267.0,57.1
o1cccn1,270.739,52.027,,51.3
o1ccnc1,270.1842,51.1944,271.0,52.2
s1cccc1,278.6075,64.0727,279.0,64.5
s1ccnc1,282.0371,59.1063,,59.8
s1cnnc1,274.6448,55.4035,,51.6
FS(F)(F)F,296.5452,67.5339,299.64,68.686
FS(F)(F)(F)(F)F,294.5268,90.3576,291.52,88.686
FS(F)(F)(F)(F)Cl,324.4912,97.8553,319.9,
Brc1ccccc1,325.92186489042115,90.58251692426133,325.0,91.2
C/C=C/C=C/C,352.7592707296051,113.414837870179,361.0,117.5
C/C=C/C=C\C,352.7592707296051,113.414837870179,357.0,109.2
C=C1CC(=O)O1,304.7740182673238,78.2899384952679,306.0,78.2
C=C1CC1,269.7751111687573,63.59574671765563,,64.61600000000001
C=C1CCC1,300.45029559927366,78.8589618670661,298.9,79.08600000000001
C=C1CCCC1,315.13457281407165,94.74977632360695,,93.816
C=CC1CCC=CC1,369.3155382291658,129.2931003405772,,128.686
C=CCCC=C,376.96430964076217,113.66639389806114,373.0,110.9
C=Cc1ccccc1,355.47152795327315,112.06759135753914,345.0,117.1
CC(=C)[C@@H]1CCC(=CC1)C,431.018893124022,176.1998725555007,,179.686
CC(=C)c1ccccc1,378.5343178413931,134.6444304327088,372.0,132.3
CC(=O)c1ccccc1,374.63328079629804,126.8454630427688,385.0,104.3
CC(C)(C)OOC(C)(C)C,489.43166292896416,217.2788555099035,,210.906
CC(C)(C)SSC(C)(C)C,505.66103348869905,229.28273825761696,500.0,234.5
CC(C)(C)c1ccccc1,408.27201961457035,167.2377544496791,396.0,168.7
CC(C)(O)c1ccccc1,409.20545053262265,163.56002250989513,,156.686
CC(C)C1CCCCC1,410.4876777152038,165.94489987699052,,170.686
CC(C)CC(=O)CC(C)C,510.37713546940245,205.6517904989833,509.0,207.7
CC(C)CCC(C)C,445.60466381597115,175.51002962268728,442.0,176.6
CC(C)CCC=C,414.1777746583768,144.23466415069078,,146.5
CC(C)CCSCCC(C)C,585.4271104072701,245.01951934261064,,243.686
CC(C)Cc1ccccc1,429.5400358568404,165.258982787043,,164.686
CC(C)c1ccc(C)c(O)c1,447.38806092734075,187.7769877743655,450.0,186.4
CC(C)c1ccc(C)cc1O,455.8806537492783,187.50921206998987,,185.686
CC(C)c1ccccc1,391.02115842280114,143.17559701430088,388.0,146.4
CC(C)c1ccccc1O,406.7292691396869,162.3592158355857,417.0,161.8
CC(OC(C)=O)OC(C)=O,493.12229483778646,174.63583274060068,,148.686
CC/C=C(C)/CC,413.66491272185635,144.71556546697573,,143.686
CC/C=C/C(C)(C)C,430.26212379605533,168.84048283306694,,165.686
CC1(C)CC1,305.2366822590228,93.98828916428877,308.0,98.7
CC1(C)CCCC1,356.9760421914094,127.26778842372158,359.0,128.6
CC1(C)CCCCC1,365.5174790591031,145.2087606168883,365.0,148.3
CC1=CC(=O)OC1=O,346.769605993155,103.27675890981817,380.0,98.2
CC1=CC1,284.96062492155005,66.4032076182188,,66.36600000000001
CC1=CC=CC1,313.72967214212196,90.93815653163519,318.0,93.8
CC1=CCCC1,323.3457722400275,96.74135812490063,326.0,92.2
CC1CC(C)C(C)C1,392.36597478724383,149.46388391923216,,153.686
CC1CC(C)CC(C)C1,400.3692266721337,168.17889525785964,,171.686
CC1CC1,283.5164486665607,69.86337179819753,286.0,73.9
CC1CC1(C)C,342.9830464925567,117.49397521401137,,117.1
CC1CC1C,309.37772135427565,93.14312209735321,,96.686
CC1CC=CC1,319.8674209434073,95.58239140439989,329.0,91.5
CC1CC=CC1C,348.3692453745931,119.31401320468942,,120.686
CC1CCC(=C1)C,354.27227768340543,120.20520422081455,,120.686
CC1CCC(C)CC1,365.4546015999598,144.23807368852667,,146.686
CC1CCC(O)CC1,366.51641285156023,139.39719103286112,,141.686
CC1CCC1,306.05968737186515,85.7792902270236,295.0,85.1
CC1CCC=C1,320.3341364651933,95.69535927968336,331.0,91.5
CC1CCC=C1C,350.8731800456892,120.062948377865,,120.686
CC1CCCC1,342.0760333631792,102.52363974126173,340.0,101.3
CC1CCCCC1,342.4634953097412,120.53155586052233,343.0,127.2
CC1CCCCC1O,366.18669154749256,139.305143134482,,141.686
CC1CCCO1,332.24859032827624,95.80414315958595,,92.3
CC1CCCS1,335.92067245173763,103.56545459109813,349.0,105.7
CC1CCC[C@@H](O)C1,365.7024040819059,138.52273599825944,,141.686
CC1CN1,281.4024590596052,65.89694417713363,,70.686
CC1CO1,280.1613808858355,62.65016376157921,287.4,63.686
CC1COC(=O)O1,332.8473951699957,93.62846556153403,,99.286
CC1C[C@H](C)[C@H](C)C1,392.36597478724383,149.46388391923216,390.0,150.8
CC1OC(C)OC(C)O1,387.84976285114186,148.85720458900616,,140.5
CC1OCCO1,328.86710446599665,88.77921491510673,318.0,
CCC(=O)OC(=O)CC,470.6937402826707,159.84540906922842,,142.686
CCC(C)C(C)CC,449.59912759512315,175.9284291607742,452.0,173.4
CCC(C)CC(C)C,450.876076960411,175.6732054425412,448.0,183.6
CCC(C)OC(C)CC,478.218571542137,192.7106927859552,,189.686
CCC/C=C/CCC,459.3808024484741,165.69881860706425,,168.686
CCC1=CCCC1,363.86360074642477,118.82055990226188,,118.686
CCC1CCC1,345.72648121804474,108.05513978728568,342.0,108.1
CCC1CCCC1,382.183736391555,124.87898521376033,378.0,125.2
CCC1CCCCC1,382.5346003447612,143.10446909282612,383.0,153.3
